game,date,age,team,opp,result,mp,playoffs mp,fg,playoffs fg,fga,fgp,three,playoffs 3,threeatt,threep,playoffs 3p,ft,playoffs ft,fta,ftp,orb,playoffs orb,drb,playoffs drb,trb,playoffs trb,ast,stl,blk,tov,playoffs tov,pts,playoffs pts,game_score,plus_minus
1,10/30/2002,39-255,WAS,TOR,L (-6),25,40,4,12,14,0.286,0,0,0,,0,0,7,2,0,0,0,3,5,3,5,1,3,0,2,6,8,31,0.4,
2,10/31/2002,39-256,WAS,BOS,W (+45),21,44,8,10,15,0.533,0,0,0,,0,5,10,5,1,0,3,4,2,4,5,5,2,1,0,7,21,30,20.7,
3,11/2/2002,39-258,WAS,NJN,L (-8),27,39,7,18,16,0.438,1,1,2,0.5,1,6,7,8,0.75,0,2,2,5,2,7,2,2,0,0,5,21,44,15,
4,11/5/2002,39-261,WAS,MIN,L (-4),29,43,5,14,14,0.357,0,0,0,,0,0,22,0,,0,0,2,3,2,3,1,1,0,1,1,10,50,2.7,
5,11/6/2002,39-262,WAS,CLE,W (+7),24,44,2,17,6,0.333,0,1,1,0,1,2,9,3,0.667,1,3,2,6,3,9,4,3,0,1,2,6,44,7.1,
6,11/8/2002,39-264,WAS,LAL,W (+1),30,46,9,11,14,0.643,0,1,0,,0.5,7,11,12,0.583,0,2,3,8,3,10,3,2,0,2,6,25,34,18.2,
7,11/9/2002,39-265,WAS,CLE,W (+14),31,42,5,19,11,0.455,0,4,1,0,0.364,2,7,2,1,2,2,6,3,8,5,6,0,2,0,5,12,49,13.9,
8,11/12/2002,39-268,WAS,SEA,L (-6),31,42,13,14,22,0.591,0,0,0,,0,1,10,2,0.5,1,4,5,15,6,19,4,1,1,4,4,27,38,18.7,
9,11/14/2002,39-270,WAS,UTA,W (+3),34,38,7,6,17,0.412,0,0,1,0,0,5,10,5,1,0,0,6,3,6,3,1,1,0,3,6,19,22,8.8,
10,11/16/2002,39-272,WAS,MIA,W (+30),19,39,4,10,5,0.8,0,2,0,,1,0,13,0,,0,2,5,1,5,3,2,2,0,1,3,8,35,8.8,
11,11/17/2002,39-273,WAS,PHI,L (-16),28,46,9,11,16,0.563,1,0,2,0.5,0,0,11,0,,0,0,2,7,2,7,3,1,0,5,1,19,33,9.7,
12,11/22/2002,39-278,WAS,HOU,L (-7),30,37,4,11,15,0.267,0,1,0,,0.5,0,6,0,,0,0,2,8,2,8,1,0,0,1,2,8,29,-1.4,
13,11/23/2002,39-279,WAS,MEM,L (-11),32,40,9,14,18,0.5,0,1,0,,1,2,7,2,1,2,2,4,6,6,8,5,2,0,3,4,20,36,15.7,
14,11/26/2002,39-282,WAS,IND,L (-4),34,44,10,15,21,0.476,3,1,3,1,0.333,5,4,8,0.625,0,2,1,3,1,5,2,3,0,1,5,28,35,19,
15,11/29/2002,39-285,WAS,IND,L (-16),30,39,6,13,15,0.4,0,0,1,0,0,2,11,2,1,0,0,4,3,4,3,1,1,0,1,0,14,37,7,
16,11/30/2002,39-286,WAS,PHI,L (-1),37,44,8,10,20,0.4,0,0,2,0,0,0,9,0,,1,1,3,7,4,8,2,0,1,2,3,16,29,5.7,
17,12/3/2002,39-289,WAS,MIL,W (+25),30,34,9,16,20,0.45,0,6,0,,0.6,7,1,8,0.875,0,2,7,1,7,3,4,0,0,1,1,25,39,17.7,
18,12/4/2002,39-290,WAS,DET,W (+5),39,50,5,16,14,0.357,0,0,0,,0,11,7,16,0.688,2,1,7,4,9,5,4,6,2,3,5,21,39,21.1,
19,12/6/2002,39-292,WAS,ORL,L (-10),39,41,7,11,21,0.333,0,0,0,,0,2,4,2,1,1,2,5,5,6,7,0,0,0,3,5,16,26,2.1,
20,12/7/2002,39-293,WAS,NYK,W (+3),37,45,9,9,18,0.5,0,0,1,0,0,2,10,4,0.5,0,1,9,3,9,4,2,3,0,2,4,20,28,14.1,
21,12/10/2002,39-296,WAS,POR,L (-19),29,44,6,15,10,0.6,0,3,0,,0.429,2,12,2,1,2,0,3,1,5,1,1,1,1,1,1,14,45,13.1,
22,12/13/2002,39-299,WAS,NJN,L (-14),40,44,5,15,20,0.25,0,3,0,,0.429,2,12,2,1,0,0,5,1,5,1,4,2,0,4,1,12,45,1.5,
23,12/15/2002,39-301,WAS,TOR,W (+13),40,44,1,15,9,0.111,0,3,0,,0.429,0,12,0,,2,0,6,1,8,1,9,2,1,0,1,2,45,7.5,
24,12/17/2002,39-303,WAS,ATL,W (+10),38,44,12,15,18,0.667,0,3,0,,0.429,6,12,6,1,0,0,3,1,3,1,2,0,0,1,1,30,45,22.3,
25,12/18/2002,39-304,WAS,MEM,W (+18),35,44,14,15,23,0.609,2,3,3,0.667,0.429,3,12,3,1,0,0,5,1,5,1,2,3,0,3,1,33,45,25.4,
26,12/21/2002,39-307,WAS,SAS,L (-11),41,44,8,15,20,0.4,0,3,0,,0.429,0,12,0,,0,0,5,1,5,1,3,0,1,2,1,16,45,7.1,
27,12/23/2002,39-309,WAS,DAL,L (-6),36,44,5,15,15,0.333,1,3,1,1,0.429,2,12,2,1,0,0,7,1,7,1,8,0,2,3,1,13,45,9.4,
28,12/26/2002,39-312,WAS,DET,L (-5),41,44,7,15,17,0.412,0,3,1,0,0.429,3,12,4,0.75,1,0,3,1,4,1,1,0,2,4,1,17,45,5.6,
29,12/28/2002,39-314,WAS,ATL,W (+8),35,44,4,15,10,0.4,0,3,1,0,0.429,2,12,2,1,1,0,3,1,4,1,5,1,1,0,1,10,45,10.6,
30,12/30/2002,39-316,WAS,ORL,L (-17),39,44,8,15,17,0.471,0,3,0,,0.429,5,12,5,1,0,0,8,1,8,1,9,3,0,4,1,21,45,18.4,
31,12/31/2002,39-317,WAS,SAS,W (+2),35,44,7,15,15,0.467,1,3,1,1,0.429,2,12,2,1,1,0,6,1,7,1,3,1,0,2,1,17,45,12.5,
32,1/2/2003,39-319,WAS,CHI,W (+25),30,44,4,15,11,0.364,0,3,2,0,0.429,2,12,2,1,1,0,4,1,5,1,5,2,0,3,1,10,45,7.9,
33,1/4/2003,39-321,WAS,IND,W (+3),53,44,14,15,26,0.538,3,3,4,0.75,0.429,10,12,12,0.833,3,0,9,1,12,1,4,3,0,2,1,41,45,35.4,
34,1/6/2003,39-323,WAS,BOS,W (+5),40,44,7,15,18,0.389,0,3,2,0,0.429,5,12,5,1,0,0,11,1,11,1,7,4,0,4,1,19,45,16.6,
35,1/8/2003,39-325,WAS,CHI,W (+3),33,44,5,15,13,0.385,0,3,0,,0.429,4,12,5,0.8,0,0,10,1,10,1,7,1,0,2,1,14,45,11.8,
36,1/10/2003,39-327,WAS,GSW,L (-5),41,44,7,15,17,0.412,0,3,0,,0.429,0,12,0,,0,0,2,1,2,1,5,0,1,0,1,14,45,9.3,
37,1/11/2003,39-328,WAS,NYK,W (+5),41,44,8,15,25,0.32,0,3,0,,0.429,7,12,9,0.778,5,0,5,1,10,1,3,1,0,2,1,23,45,13.2,
38,1/14/2003,39-331,WAS,TOR,L (-9),41,44,8,15,23,0.348,0,3,0,,0.429,6,12,6,1,2,0,3,1,5,1,4,3,2,2,1,22,45,16.2,
39,1/16/2003,39-333,WAS,ORL,W (+15),39,44,12,15,25,0.48,0,3,1,0,0.429,8,12,10,0.8,1,0,5,1,6,1,8,2,0,1,1,32,45,26.1,
40,1/18/2003,39-335,WAS,PHI,L (-8),42,44,10,15,25,0.4,0,3,3,0,0.429,5,12,6,0.833,2,0,6,1,8,1,7,5,1,2,1,25,45,21.3,
41,1/20/2003,39-337,WAS,DEN,W (+15),42,44,11,15,22,0.5,0,3,2,0,0.429,3,12,4,0.75,1,0,4,1,5,1,6,1,1,3,1,25,45,17.2,
42,1/22/2003,39-339,WAS,NOH,L (-9),38,44,9,15,21,0.429,0,3,0,,0.429,0,12,0,,0,0,4,1,4,1,3,3,0,2,1,18,45,10.8,
43,1/24/2003,39-341,WAS,CHI,L (-7),39,44,4,15,14,0.286,0,3,0,,0.429,3,12,4,0.75,2,0,3,1,5,1,3,1,1,1,1,11,45,6.7,
44,1/25/2003,39-342,WAS,MIN,L (-8),41,44,8,15,18,0.444,0,3,1,0,0.429,1,12,2,0.5,0,0,8,1,8,1,5,2,1,4,1,17,45,11.8,
45,1/27/2003,39-344,WAS,PHO,W (+5),38,44,9,15,14,0.643,0,3,0,,0.429,1,12,2,0.5,0,0,7,1,7,1,1,2,0,5,1,19,45,11.8,
46,1/29/2003,39-346,WAS,NJN,L (-8),37,44,4,15,16,0.25,0,3,0,,0.429,0,12,0,,0,0,5,1,5,1,5,0,0,3,1,8,45,-0.4,
47,1/30/2003,39-347,WAS,MIL,L (-7),39,44,11,15,24,0.458,0,3,1,0,0.429,2,12,3,0.667,2,0,2,1,4,1,4,1,0,2,1,24,45,14.6,
48,2/1/2003,39-349,WAS,NOH,W (+5),44,44,18,15,33,0.545,0,3,0,,0.429,9,12,10,0.9,1,0,2,1,3,1,6,1,1,2,1,45,45,31.9,
49,2/4/2003,39-352,WAS,CLE,W (+9),43,44,13,15,26,0.5,0,3,0,,0.429,1,12,1,1,0,0,4,1,4,1,8,4,1,2,1,27,45,22.3,
50,2/11/2003,39-359,WAS,SAC,L (-19),31,44,5,15,19,0.263,0,3,0,,0.429,2,12,2,1,2,0,5,1,7,1,2,0,0,1,1,12,45,4,
51,2/12/2003,39-360,WAS,LAC,W (+4),39,44,8,15,24,0.333,0,3,0,,0.429,7,12,9,0.778,2,0,4,1,6,1,12,2,1,2,1,23,45,17.9,
52,2/14/2003,39-362,WAS,UTA,L (-32),29,44,3,15,12,0.25,0,3,0,,0.429,5,12,5,1,1,0,1,1,2,1,3,0,0,2,1,11,45,4.9,
53,2/19/2003,40-002,WAS,NOH,L (-12),39,44,8,15,23,0.348,0,3,0,,0.429,4,12,6,0.667,3,0,3,1,6,1,2,0,2,3,1,20,45,9.1,
54,2/21/2003,40-004,WAS,NJN,W (+3),43,44,18,15,30,0.6,0,3,0,,0.429,7,12,8,0.875,0,0,10,1,10,1,3,4,1,1,1,43,45,36.8,
55,2/23/2003,40-006,WAS,DAL,L (-5),52,44,14,15,26,0.538,0,3,0,,0.429,2,12,2,1,2,0,7,1,9,1,3,2,1,6,1,30,45,18.5,
56,2/25/2003,40-008,WAS,IND,W (+5),41,44,11,15,25,0.44,0,3,0,,0.429,3,12,4,0.75,0,0,6,1,6,1,3,1,0,1,1,25,45,14.6,
57,2/27/2003,40-010,WAS,HOU,W (+2),50,44,15,15,26,0.577,0,3,0,,0.429,5,12,7,0.714,0,0,11,1,11,1,6,0,0,3,1,35,45,25.3,
58,3/1/2003,40-012,WAS,CHI,W (+8),43,44,7,15,18,0.389,0,3,2,0,0.429,3,12,4,0.75,0,0,8,1,8,1,8,0,0,2,1,17,45,12,
59,3/2/2003,40-013,WAS,MIA,L (-10),39,44,9,15,27,0.333,0,3,1,0,0.429,3,12,3,1,1,0,7,1,8,1,2,1,3,0,1,21,45,12.2,
60,3/4/2003,40-015,WAS,TOR,L (-3),15,44,2,15,5,0.4,0,3,0,,0.429,0,12,0,,1,0,2,1,3,1,2,0,0,3,1,4,45,0.6,
61,3/5/2003,40-016,WAS,LAC,W (+19),24,44,4,15,14,0.286,0,3,0,,0.429,2,12,2,1,3,0,6,1,9,1,0,0,0,1,1,10,45,3.9,
62,3/7/2003,40-018,WAS,MIL,L (-3),43,44,11,15,24,0.458,0,3,1,0,0.429,5,12,6,0.833,0,0,9,1,9,1,3,2,0,1,1,27,45,19.2,
63,3/9/2003,40-020,WAS,NYK,L (-1),43,44,13,15,22,0.591,0,3,0,,0.429,13,12,15,0.867,1,0,7,1,8,1,1,1,0,3,1,39,45,28.3,
64,3/11/2003,40-022,WAS,ORL,W (+1),40,44,10,15,18,0.556,0,3,0,,0.429,3,12,3,1,0,0,4,1,4,1,2,2,0,9,1,23,45,8.4,
65,3/14/2003,40-025,WAS,DET,L (-10),40,44,6,15,18,0.333,0,3,0,,0.429,3,12,4,0.75,1,0,4,1,5,1,4,2,1,0,1,15,45,11,
66,3/15/2003,40-026,WAS,MIA,W (+7),39,44,9,15,18,0.5,0,3,1,0,0.429,1,12,1,1,2,0,6,1,8,1,1,2,2,3,1,19,45,13.1,
67,3/18/2003,40-029,WAS,DET,L (-4),50,44,10,15,25,0.4,0,3,1,0,0.429,3,12,4,0.75,1,0,10,1,11,1,3,0,0,2,1,23,45,12.1,
68,3/21/2003,40-032,WAS,PHO,L (-26),36,44,4,15,12,0.333,0,3,1,0,0.429,6,12,6,1,2,0,3,1,5,1,2,1,1,2,1,14,45,10.6,
69,3/23/2003,40-034,WAS,GSW,L (-6),42,44,11,15,23,0.478,1,3,1,1,0.429,1,12,1,1,0,0,5,1,5,1,4,2,0,3,1,24,45,14.8,
70,3/25/2003,40-036,WAS,POR,W (+4),41,44,11,15,19,0.579,0,3,0,,0.429,3,12,4,0.75,0,0,5,1,5,1,7,2,0,1,1,25,45,21.5,
71,3/26/2003,40-037,WAS,SEA,W (+6),44,44,12,15,22,0.545,0,3,0,,0.429,2,12,3,0.667,1,0,9,1,10,1,4,2,1,4,1,26,45,18.7,
72,3/28/2003,40-039,WAS,LAL,L (-14),41,44,10,15,20,0.5,0,3,0,,0.429,3,12,4,0.75,0,0,0,1,0,1,4,1,0,1,1,23,45,15,
73,3/30/2003,40-041,WAS,DEN,L (-16),37,44,9,15,23,0.391,0,3,1,0,0.429,1,12,2,0.5,1,0,4,1,5,1,2,1,0,5,1,19,45,5,
74,4/2/2003,40-044,WAS,SAC,L (-6),42,44,8,15,17,0.471,0,3,0,,0.429,1,12,2,0.5,0,0,1,1,1,1,4,0,0,1,1,17,45,9.2,
75,4/3/2003,40-045,WAS,ATL,L (-2),43,44,10,15,23,0.435,0,3,1,0,0.429,2,12,2,1,1,0,13,1,14,1,7,2,0,0,1,22,45,20.6,
76,4/6/2003,40-048,WAS,BOS,W (+1),47,44,10,15,22,0.455,1,3,1,1,0.429,4,12,4,1,2,0,11,1,13,1,7,2,0,2,1,25,45,22,
77,4/8/2003,40-050,WAS,CLE,W (+9),46,44,10,15,19,0.526,1,3,1,1,0.429,5,12,5,1,3,0,7,1,10,1,3,3,1,1,1,26,45,25.7,
78,4/9/2003,40-051,WAS,BOS,L (-4),43,44,8,15,17,0.471,1,3,2,0.5,0.429,4,12,4,1,0,0,10,1,10,1,1,2,0,1,1,21,45,16.2,
79,4/11/2003,40-053,WAS,MIA,W (+4),40,44,11,15,26,0.423,0,3,1,0,0.429,3,12,3,1,1,0,1,1,2,1,4,2,0,1,1,25,45,15.2,
80,4/12/2003,40-054,WAS,ATL,L (-1),30,44,8,15,16,0.5,0,3,0,,0.429,1,12,2,0.5,2,0,6,1,8,1,6,1,1,2,1,17,45,14.5,
81,4/14/2003,40-056,WAS,NYK,L (-14),37,44,9,15,22,0.409,0,3,3,0,0.429,3,12,3,1,1,0,7,1,8,1,1,1,0,2,1,21,45,11.3,
82,4/16/2003,40-058,WAS,PHI,L (-20),28,44,6,15,15,0.4,0,3,0,,0.429,3,12,4,0.75,0,0,4,1,4,1,4,0,0,2,1,15,45,8.5,
